source_id,ra,dec,parallax,parallax_over_error,pmra,pmdec,radial_velocity
5860578331086064256,184.4500309897214,-66.04023278842395,0.6377619186615765,1.4661766,-5.657868988568355,3.947808311212055,
5860578331086081152,184.4465513692446,-66.03752076593166,0.2962046853031171,1.1680769,-6.089330632606159,0.6593501209620417,
5860578331086990080,184.4149744739156,-66.05430720228856,0.11761416338619216,0.5933906,-2.878401244678988,-0.010988393608674714,
5860578331086993664,184.41060756497984,-66.05314611827066,0.20462948484505056,0.8742312,-5.715599220035782,1.8483328970920008,
5860578331087000832,184.41852326227604,-66.05164360084034,0.2546964045442751,0.58195186,-6.177170936793553,0.6774236196566688,
5860578331087006848,184.4198259141445,-66.05024663057867,0.0623669962325121,0.34277865,-8.004546512166556,-0.1266677505296321,
5860620421728926976,181.19886249677532,-66.6192303282069,0.8481007643926691,3.3297021,-6.029115933707336,1.240784357882287,
5860620421728927104,181.19796886299932,-66.61938014083303,0.4295696915662439,1.2874076,-5.23697255816215,8.666042387617638,
5860620421728928512,181.2079646808336,-66.62055440594689,0.6148870914577169,1.6468846,-9.2494956504616,0.5946941627573803,
5860620421728933760,181.1961579613601,-66.61863211985823,1.1257138788934333,2.6551213,-3.3878520176429534,1.1022247326088745,
5860620421728936576,181.2053361557905,-66.61954157358868,0.3290766313361132,1.4112921,-4.035980155664579,0.5386099107559132,
5860620421728957440,181.21174925548854,-66.6183161596587,0.0017800169042359662,0.015808085,-7.8399434720399395,1.2480911804219037,
5860620421728960512,181.23124083937483,-66.62044332947916,0.4332822405262602,2.11318,-7.547018100686513,1.2277447282459106,
5860620421728969344,181.20819794977572,-66.61588536592522,0.2534648398907305,0.9362241,-5.457292836230665,0.36576784140103724,
5860620421728971520,181.21694968953983,-66.61682996516382,0.1105890727959061,0.22163072,-8.233433238744771,1.7236036699918837,
5860660549628981504,182.75595139929626,-66.10906314572463,0.16845454360852957,0.76239437,-6.7627650808368305,-0.03484946408630074,
5860660549628991104,182.7597527768236,-66.0999955343194,0.22223734780014956,0.52102226,-9.15422706840964,1.274756736104718,
5860660549629012736,182.76933900551498,-66.09504298256614,0.3864046594396815,1.430593,-6.190062193255481,0.6970440818431711,
5860660549629014656,182.77063806633984,-66.10044433523284,0.1462831880151363,1.1096946,-5.857559253382667,0.6198412144666704,
5860660549635044224,182.7706872441004,-66.1057674557088,0.11631686112296172,0.6585529,-6.951217709371651,0.5114888820113638,
5860660549635044480,182.7564558654024,-66.10388701689818,0.30517782264256066,1.1797333,-4.40138294119254,-0.5323969292693518,
5860660549635044608,182.76130604932453,-66.1045321279805,0.3497959802714025,1.8160266,-5.44746034997162,0.14372723754094913,
5860660553917662976,182.73460233819625,-66.11348416451779,0.07951481444853084,0.22575773,-4.951045971271145,0.235188923588192,
5860660553917666688,182.73216049155005,-66.11003122989113,0.5980662840178248,4.187508,-7.109219799443488,0.7088912250185831,
5860542455211022080,182.83185285882385,-66.49307696436435,0.15481884437612725,0.50669384,-5.478744897307063,0.2272665541471498,
5860542459504461952,182.82258969029695,-66.50053634735463,0.1976780303431906,1.046411,-11.184388569255185,2.251487528901417,
5860542459504478080,182.82565818651486,-66.49620662933658,0.7354982068542388,3.046245,-5.648762077885292,-1.3267463273216789,
5860542459504482304,182.8260909530744,-66.49540136517619,0.6683531076864904,1.4316478,-5.877129671000269,-0.13990058897762664,
5860542459504494720,182.82386701627658,-66.49230808353535,0.7232301124706245,1.621024,-4.575157036157048,0.33942068970808115,
5860542459504497152,182.83748287674547,-66.49373583305335,0.4919559087218899,1.3430734,-8.129501061268288,-0.29004313814044735,
5860542459504504448,182.8383626770567,-66.49228338881868,0.2478436212452377,0.59404343,-3.5939409017070694,0.4273791280697298,
5860542459504505088,182.82596021970588,-66.49006383927544,0.08831763011573088,0.26471534,-8.117909794984607,0.1827774123688065,
5860542459504510848,182.8488886980527,-66.4914487109666,0.7661001735694712,1.9984705,-7.420694425857664,0.11639301407878114,
5871585267072869760,206.30206586330397,-58.40215917057477,0.7036588445593733,1.0781015,-6.828566363723397,-1.3420447481281295,
5871585267072870144,206.30543282060853,-58.39912876994153,0.43222059962726234,0.7669719,-9.246671464781109,-3.1674992702512315,
5871585267072871296,206.31207428618177,-58.397175038621405,0.44252720264525097,0.83572274,-5.250909878381492,-1.1011558333817182,
5871585267072871424,206.3108779089875,-58.394303602569664,4.891846306936913,1.3435246,-5.034221500469594,-4.167542837126257,
5871585267072871680,206.31039596829203,-58.39372453286395,0.20248773412741788,0.48869425,-6.273368536724639,-1.8737600552837819,
5871585267072984320,206.29775867213706,-58.39319610612513,0.9712339816194265,1.447981,-6.571615071776456,0.1900403446925322,
5860620421728977280,181.2313616883394,-66.6180669483719,0.23723001967841714,1.8746146,-5.924396821310184,0.6209285794471904,
5871585267072991872,206.3142329338121,-58.39043005588988,1.3633175435888345,1.0093799,-5.035334822409998,0.19657843563095684,
5860620421728979840,181.2298743687529,-66.6176302281526,0.18908938687062055,1.8277386,-5.752427295091163,-0.3935414206528838,
5871585267072993792,206.30505892379136,-58.39089408779501,0.9225759855530311,1.1556818,-6.637076269113605,-1.9719082944822743,
5871585267072994304,206.3055577399626,-58.392851889133325,0.14940353882412533,0.08556263,-6.624447555166591,-1.643795068419784,
5860502636594333440,184.32993129820952,-66.58704216159582,0.06053532146800014,2.813309,-5.525850720181912,0.6841474944020103,87.12016
5860502636594334720,184.3316348782071,-66.58475290235342,0.057513171092589896,0.4611032,-4.7643982201667,-1.578397369677653,
